Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P8080172.JPG,2025-08-08,Region,0,0,1,980.4,2161.2,60.5,218.0,0.0,
P8080172.JPG,2025-08-08,Region,0,1,2,944.3,1784.4,57.4,140.74,0.0,
P8080172.JPG,2025-08-08,Region,0,2,3,992.3,1402.0,86.7,476.84,0.0,
P8080172.JPG,2025-08-08,Region,0,3,4,1005.2,1050.1,82.0,404.05,0.0,
P8080172.JPG,2025-08-08,Region,0,4,5,995.0,683.7,67.1,268.8,0.0,
P8080172.JPG,2025-08-08,Region,0,5,6,1001.2,326.2,82.8,419.38,0.0,
P8080172.JPG,2025-08-08,Region,0,6,7,1348.3,325.1,72.6,321.99,0.0,
P8080172.JPG,2025-08-08,Region,0,7,8,1360.1,677.3,64.3,255.4,0.0,
P8080172.JPG,2025-08-08,Region,0,8,9,1342.2,1035.1,81.6,402.17,0.0,
P8080172.JPG,2025-08-08,Region,0,9,10,1338.8,1408.5,81.6,410.1,0.0,
P8080172.JPG,2025-08-08,Region,0,10,11,2012.8,2142.3,60.3,220.78,0.0,
P8080172.JPG,2025-08-08,Region,0,11,12,2032.6,1766.8,75.0,374.31,0.0,
P8080172.JPG,2025-08-08,Region,0,12,13,2005.1,1405.9,72.8,286.86,0.0,
P8080172.JPG,2025-08-08,Region,0,13,14,2026.8,1061.6,82.1,415.56,0.0,
P8080172.JPG,2025-08-08,Region,0,14,15,1988.4,712.6,69.8,313.21,0.0,
P8080172.JPG,2025-08-08,Region,0,15,16,2014.6,342.8,61.9,253.76,0.0,
P8080172.JPG,2025-08-08,Region,0,16,17,2434.0,373.3,74.2,279.48,0.0,
P8080172.JPG,2025-08-08,Region,0,17,18,2406.9,650.0,59.3,224.57,0.0,
P8080172.JPG,2025-08-08,Region,0,18,19,2377.0,1068.0,66.5,245.96,0.0,
P8080172.JPG,2025-08-08,Region,0,19,20,2400.9,1415.2,58.7,207.97,0.0,
P8080172.JPG,2025-08-08,Region,0,20,21,3068.5,2103.8,72.1,315.07,0.0,
P8080172.JPG,2025-08-08,Region,0,21,22,3064.9,1759.2,56.2,212.35,0.0,
P8080172.JPG,2025-08-08,Region,0,22,23,3072.2,1409.5,53.4,179.05,0.0,
P8080172.JPG,2025-08-08,Region,0,23,24,3028.4,1045.9,79.8,379.61,0.0,
P8080172.JPG,2025-08-08,Region,0,24,25,3033.1,706.7,66.3,286.47,0.0,
P8080172.JPG,2025-08-08,Region,0,25,26,3052.5,351.9,71.7,303.3,0.0,
P8080172.JPG,2025-08-08,Region,0,26,27,3434.2,381.6,80.9,326.38,0.0,
P8080172.JPG,2025-08-08,Region,0,27,28,3414.9,701.7,67.0,277.52,0.0,
P8080172.JPG,2025-08-08,Region,0,28,29,3409.4,1081.5,71.5,319.96,0.0,
P8080172.JPG,2025-08-08,Region,0,29,30,3432.4,1434.9,65.1,248.37,0.0,
