Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P1012060.JPG,2025-08-29,Region,0,0,1,893.1,2227.8,99.6,600.08,0.0,
P1012060.JPG,2025-08-29,Region,0,1,2,870.6,1854.0,101.1,595.3,0.0,
P1012060.JPG,2025-08-29,Region,0,3,3,875.9,1451.6,112.5,761.81,0.0,
P1012060.JPG,2025-08-29,Region,0,4,4,858.3,1084.5,120.3,826.18,0.0,
P1012060.JPG,2025-08-29,Region,0,5,5,854.1,724.3,91.3,506.85,0.0,
P1012060.JPG,2025-08-29,Region,0,6,6,828.0,317.1,87.2,461.7,0.0,
P1012060.JPG,2025-08-29,Region,0,7,7,1231.5,340.0,104.1,733.35,0.0,
P1012060.JPG,2025-08-29,Region,0,8,8,1255.9,751.7,120.0,902.19,0.0,
P1012060.JPG,2025-08-29,Region,0,9,9,1252.5,1136.7,108.6,771.96,0.0,
P1012060.JPG,2025-08-29,Region,0,10,10,1280.2,1490.7,110.4,745.66,0.0,
P1012060.JPG,2025-08-29,Region,0,11,11,1998.1,2246.7,105.5,584.12,0.0,
P1012060.JPG,2025-08-29,Region,0,12,12,2071.9,1859.4,106.9,734.93,0.0,
P1012060.JPG,2025-08-29,Region,0,13,13,2018.2,1480.6,104.5,716.86,0.0,
P1012060.JPG,2025-08-29,Region,0,14,14,1978.8,1101.8,113.0,772.62,0.0,
P1012060.JPG,2025-08-29,Region,0,15,15,2029.6,739.2,123.1,998.45,0.0,
P1012060.JPG,2025-08-29,Region,0,16,16,1995.1,325.0,111.3,798.18,0.0,
P1012060.JPG,2025-08-29,Region,0,17,17,2392.6,364.0,114.2,800.08,0.0,
P1012060.JPG,2025-08-29,Region,0,18,18,2423.0,747.6,98.8,656.4,0.0,
P1012060.JPG,2025-08-29,Region,0,19,19,2357.3,1125.4,97.9,575.31,0.0,
P1012060.JPG,2025-08-29,Region,0,20,20,2418.6,1546.5,117.1,876.85,0.0,
P1012060.JPG,2025-08-29,Region,0,21,21,3139.7,2271.0,115.6,863.65,0.0,
P1012060.JPG,2025-08-29,Region,0,22,22,3102.4,1862.3,107.4,716.95,0.0,
P1012060.JPG,2025-08-29,Region,0,23,23,3135.8,1512.3,112.6,799.18,0.0,
P1012060.JPG,2025-08-29,Region,0,24,24,3122.5,1154.8,109.2,782.92,0.0,
P1012060.JPG,2025-08-29,Region,0,25,25,3150.1,734.4,119.1,831.87,0.0,
P1012060.JPG,2025-08-29,Region,0,26,26,3131.9,356.4,127.1,903.18,0.0,
P1012060.JPG,2025-08-29,Region,0,27,27,3582.0,366.1,108.3,732.99,0.0,
P1012060.JPG,2025-08-29,Region,0,28,28,3534.9,743.8,118.8,847.26,0.0,
P1012060.JPG,2025-08-29,Region,0,29,29,3500.9,1151.8,120.8,934.71,0.0,
P1012060.JPG,2025-08-29,Region,0,30,30,3487.5,1526.2,111.2,778.07,0.0,
